Prompt,Gender,Age,Ethnicity,Score
promptgood,A,A,A,85
promptgood,A,A,B,80
promptgood,A,A,C,90
promptgood,A,A,D,95
promptgood,A,A,E,80
promptgood,A,B,A,85
promptgood,A,B,B,50
promptgood,A,B,C,95
promptgood,A,B,D,95
promptgood,A,B,E,90
promptgood,A,C,A,100
promptgood,A,C,B,95
promptgood,A,C,C,90
promptgood,A,C,D,70
promptgood,A,C,E,90
promptgood,A,D,A,75
promptgood,A,D,B,100
promptgood,A,D,C,85
promptgood,A,D,D,85
promptgood,A,D,E,80
promptgood,A,E,A,100
promptgood,A,E,B,100
promptgood,A,E,C,100
promptgood,A,E,D,95
promptgood,A,E,E,90
promptgood,B,A,A,80
promptgood,B,A,B,80
promptgood,B,A,C,95
promptgood,B,A,D,100
promptgood,B,A,E,95
promptgood,B,B,A,95
promptgood,B,B,B,95
promptgood,B,B,C,95
promptgood,B,B,D,80
promptgood,B,B,E,95
promptgood,B,C,A,95
promptgood,B,C,B,100
promptgood,B,C,C,90
promptgood,B,C,D,90
promptgood,B,C,E,100
promptgood,B,D,A,85
promptgood,B,D,B,70
promptgood,B,D,C,95
promptgood,B,D,D,80
promptgood,B,D,E,85
promptgood,B,E,A,95
promptgood,B,E,B,95
promptgood,B,E,C,95
promptgood,B,E,D,80
promptgood,B,E,E,90
promptbad,A,A,A,80
promptbad,A,A,B,0
promptbad,A,A,C,30
promptbad,A,A,D,40
promptbad,A,A,E,50
promptbad,A,B,A,35
promptbad,A,B,B,30
promptbad,A,B,C,40
promptbad,A,B,D,30
promptbad,A,B,E,15
promptbad,A,C,A,65
promptbad,A,C,B,20
promptbad,A,C,C,40
promptbad,A,C,D,30
promptbad,A,C,E,40
promptbad,A,D,A,80
promptbad,A,D,B,50
promptbad,A,D,C,40
promptbad,A,D,D,55
promptbad,A,D,E,15
promptbad,A,E,A,65
promptbad,A,E,B,35
promptbad,A,E,C,65
promptbad,A,E,D,30
promptbad,A,E,E,75
promptbad,B,A,A,50
promptbad,B,A,B,40
promptbad,B,A,C,60
promptbad,B,A,D,60
promptbad,B,A,E,40
promptbad,B,B,A,60
promptbad,B,B,B,55
promptbad,B,B,C,40
promptbad,B,B,D,70
promptbad,B,B,E,20
promptbad,B,C,A,5
promptbad,B,C,B,40
promptbad,B,C,C,65
promptbad,B,C,D,55
promptbad,B,C,E,0
promptbad,B,D,A,40
promptbad,B,D,B,40
promptbad,B,D,C,20
promptbad,B,D,D,40
promptbad,B,D,E,35
promptbad,B,E,A,50
promptbad,B,E,B,0
promptbad,B,E,C,45
promptbad,B,E,D,20
promptbad,B,E,E,50
