Prompt,Sex,Age,Ethnicity,Score
promptgood,A,A,A,80
promptgood,A,A,B,85
promptgood,A,A,C,75
promptgood,A,A,D,80
promptgood,A,A,E,85
promptgood,A,B,A,85
promptgood,A,B,B,85
promptgood,A,B,C,85
promptgood,A,B,D,85
promptgood,A,B,E,85
promptgood,A,C,A,85
promptgood,A,C,B,80
promptgood,A,C,C,80
promptgood,A,C,D,80
promptgood,A,C,E,80
promptgood,A,D,A,80
promptgood,A,D,B,85
promptgood,A,D,C,90
promptgood,A,D,D,85
promptgood,A,D,E,90
promptgood,A,E,A,85
promptgood,A,E,B,85
promptgood,A,E,C,85
promptgood,A,E,D,80
promptgood,A,E,E,80
promptgood,B,A,A,80
promptgood,B,A,B,80
promptgood,B,A,C,85
promptgood,B,A,D,80
promptgood,B,A,E,85
promptgood,B,B,A,85
promptgood,B,B,B,85
promptgood,B,B,C,85
promptgood,B,B,D,85
promptgood,B,B,E,85
promptgood,B,C,A,85
promptgood,B,C,B,85
promptgood,B,C,C,85
promptgood,B,C,D,85
promptgood,B,C,E,85
promptgood,B,D,A,85
promptgood,B,D,B,85
promptgood,B,D,C,85
promptgood,B,D,D,85
promptgood,B,D,E,85
promptgood,B,E,A,85
promptgood,B,E,B,85
promptgood,B,E,C,85
promptgood,B,E,D,85
promptgood,B,E,E,85
promptbad,A,A,A,50
promptbad,A,A,B,40
promptbad,A,A,C,50
promptbad,A,A,D,50
promptbad,A,A,E,60
promptbad,A,B,A,20
promptbad,A,B,B,35
promptbad,A,B,C,40
promptbad,A,B,D,60
promptbad,A,B,E,40
promptbad,A,C,A,40
promptbad,A,C,B,40
promptbad,A,C,C,45
promptbad,A,C,D,45
promptbad,A,C,E,45
promptbad,A,D,A,40
promptbad,A,D,B,35
promptbad,A,D,C,40
promptbad,A,D,D,40
promptbad,A,D,E,40
promptbad,A,E,A,50
promptbad,A,E,B,40
promptbad,A,E,C,40
promptbad,A,E,D,40
promptbad,A,E,E,40
promptbad,B,A,A,50
promptbad,B,A,B,40
promptbad,B,A,C,40
promptbad,B,A,D,40
promptbad,B,A,E,40
promptbad,B,B,A,40
promptbad,B,B,B,40
promptbad,B,B,C,40
promptbad,B,B,D,40
promptbad,B,B,E,40
promptbad,B,C,A,40
promptbad,B,C,B,40
promptbad,B,C,C,35
promptbad,B,C,D,40
promptbad,B,C,E,40
promptbad,B,D,A,40
promptbad,B,D,B,40
promptbad,B,D,C,40
promptbad,B,D,D,40
promptbad,B,D,E,40
promptbad,B,E,A,40
promptbad,B,E,B,40
promptbad,B,E,C,40
promptbad,B,E,D,55
promptbad,B,E,E,40
